"id","name","code","referentiecode","account_type","tag_ids","reconcile","sort_code"
"0215030","Cumulatieve herwaarderingen inventaris","0215030","BMvaBeiCuh","asset_fixed","l10n_nl_rgs.account_tag_0215000","0","B.H.C"
"0216010","Verkrijgings- of vervaardigingsprijs vaste bedrijfsmiddelen in uitvoering","0216010","BMvaVbiVvp","asset_fixed","l10n_nl_rgs.account_tag_0216000","0","B.U.A"
"0216015","Actuele kostprijs vaste bedrijfsmiddelen in uitvoering","0216015","BMvaVbiAkp","asset_fixed","l10n_nl_rgs.account_tag_0216000","0","B.U.A1"
"0216020","Cumulatieve afschrijvingen en waardeverminderingen vaste bedrijfsmiddelen in uitvoering","0216020","BMvaVbiCae","asset_fixed","l10n_nl_rgs.account_tag_0216000","0","B.U.B"
"0216030","Cumulatieve herwaarderingen vaste bedrijfsmiddelen in uitvoering","0216030","BMvaVbiCuh","asset_fixed","l10n_nl_rgs.account_tag_0216000","0","B.U.C"
"0216110","Verkrijgings- of vervaardigingsprijs vooruitbetalingen op materiële vaste activa","0216110","BMvaVmvVvp","asset_fixed","l10n_nl_rgs.account_tag_0216000","0","B.V.A"
"0216115","Actuele kostprijs vooruitbetalingen op materiële vaste activa","0216115","BMvaVmvAkp","asset_fixed","l10n_nl_rgs.account_tag_0216000","0","B.V.A1"
"0216120","Cumulatieve afschrijvingen en waardeverminderingen vooruitbetalingen op materiële vaste activa","0216120","BMvaVmvCae","asset_fixed","l10n_nl_rgs.account_tag_0216000","0","B.V.B"
"0216130","Cumulatieve herwaarderingen vooruitbetalingen op materiële vaste activa","0216130","BMvaVmvCuh","asset_fixed","l10n_nl_rgs.account_tag_0216000","0","B.V.C"
"0217010","Verkrijgings- of vervaardigingsprijs niet aan de bedrijfsuitoefening dienstbare materiële vaste activa","0217010","BMvaNadVvp","asset_fixed","l10n_nl_rgs.account_tag_0217000","0","B.W.A"
"0217015","Actuele kostprijs niet aan de bedrijfsuitoefening dienstbare materiële vaste activa","0217015","BMvaNadAkp","asset_fixed","l10n_nl_rgs.account_tag_0217000","0","B.W.A1"
"0217020","Cumulatieve afschrijvingen en waardeverminderingen niet aan de bedrijfsuitoefening dienstbare materiële vaste activa","0217020","BMvaNadCae","asset_fixed","l10n_nl_rgs.account_tag_0217000","0","B.W.B"
"0217030","Cumulatieve herwaarderingen niet aan de bedrijfsuitoefening dienstbare materiële vaste activa","0217030","BMvaNadCuh","asset_fixed","l10n_nl_rgs.account_tag_0217000","0","B.W.C"
"0218010","Verkrijgings- of vervaardigingsprijs ten dienste van de exploitatie","0218010","BMvaOrzVvp","asset_fixed","l10n_nl_rgs.account_tag_0218000","0","B.X.A"
"0218015","Actuele kostprijs ten dienste van de exploitatie","0218015","BMvaOrzAkp","asset_fixed","l10n_nl_rgs.account_tag_0218000","0","B.X.A1"
"0218020","Cumulatieve afschrijvingen en waardeverminderingen  ten dienste van de exploitatie","0218020","BMvaOrzCae","asset_fixed","l10n_nl_rgs.account_tag_0218000","0","B.X.B"
"0218030","Cumulatieve herwaarderingen  ten dienste van de exploitatie","0218030","BMvaOrzCuh","asset_fixed","l10n_nl_rgs.account_tag_0218000","0","B.X.C"
"0221010","Verkrijgings- of vervaardigingsprijs meerjaren plantopstand","0221010","BMvaMepVvp","asset_fixed","l10n_nl_rgs.account_tag_0221000","0","B.Q.A"
"0221020","Cumulatieve afschrijvingen en waardeverminderingen meerjaren plantopstand","0221020","BMvaMepCae","asset_fixed","l10n_nl_rgs.account_tag_0221000","0","B.Q.B"
"0221030","Cumulatieve herwaarderingen meerjaren plantopstand","0221030","BMvaMepCuh","asset_fixed","l10n_nl_rgs.account_tag_0221000","0","B.Q.C"
"0222010","Verkrijgings- of vervaardigingsprijs gebruiksvee","0222010","BMvaGebVvp","asset_fixed","l10n_nl_rgs.account_tag_0222000","0","B.S.A"
"0222020","Cumulatieve afschrijvingen en waardeverminderingen gebruiksvee","0222020","BMvaGebCae","asset_fixed","l10n_nl_rgs.account_tag_0222000","0","B.S.B"
"0222030","Cumulatieve herwaarderingen gebruiksvee","0222030","BMvaGebCuh","asset_fixed","l10n_nl_rgs.account_tag_0222000","0","B.S.C"
"0301010","Deelnemingen in groepsmaatschappijen","0301010","BFvaDigNev","asset_fixed","l10n_nl_rgs.account_tag_0301000","0","D.A.A"
"0301020","Cumulatieve afschrijvingen en waardeverminderingen deelnemingen in groepsmaatschappijen","0301020","BFvaDigCae","asset_fixed","l10n_nl_rgs.account_tag_0301000","0","D.A.B"
"0301030","Cumulatieve herwaarderingen deelnemingen in groepsmaatschappijen","0301030","BFvaDigCuh","asset_fixed","l10n_nl_rgs.account_tag_0301000","0","D.A.C"
"0302020","Deelnemingen in overige verbonden maatschappijen","0302020","BFvaDioNev","asset_fixed","l10n_nl_rgs.account_tag_0302000","0","D.B.A"
"0302030","Cumulatieve afschrijvingen en waardeverminderingen deelnemingen in overige verbonden maatschappijen","0302030","BFvaDioCae","asset_fixed","l10n_nl_rgs.account_tag_0302000","0","D.B.B"
"0302040","Cumulatieve herwaarderingen deelnemingen in overige verbonden maatschappijen","0302040","BFvaDioCuh","asset_fixed","l10n_nl_rgs.account_tag_0302000","0","D.B.C"
"0303010","Overige deelnemingen","0303010","BFvaAndKpr","asset_fixed","l10n_nl_rgs.account_tag_0303000","0","D.E.A"
"0303020","Cumulatieve afschrijvingen en waardeverminderingen overige deelnemingen","0303020","BFvaAndCae","asset_fixed","l10n_nl_rgs.account_tag_0303000","0","D.E.B"
"0303030","Cumulatieve herwaarderingen overige deelnemingen","0303030","BFvaAndCuh","asset_fixed","l10n_nl_rgs.account_tag_0303000","0","D.E.C"
"0304010","Overige effecten (langlopend)","0304010","BFvaOveWaa","asset_fixed","l10n_nl_rgs.account_tag_0304000","0","D.G.A"
"0304020","Cumulatieve afschrijvingen en waardeverminderingen overige effecten (langlopend)","0304020","BFvaOveCuw","asset_fixed","l10n_nl_rgs.account_tag_0304000","0","D.G.B"
"0304030","Cumulatieve herwaarderingen overige effecten (langlopend)","0304030","BFvaOveCuh","asset_fixed","l10n_nl_rgs.account_tag_0304000","0","D.G.C"
"0305010","Vorderingen op groepsmaatschappijen","0305010","BFvaVogVgl","asset_fixed","l10n_nl_rgs.account_tag_0305000","0","D.C.A"
"0305020","Cumulatieve afschrijvingen en waardeverminderingen vorderingen op groepsmaatschappijen","0305020","BFvaVogCae","asset_fixed","l10n_nl_rgs.account_tag_0305000","0","D.C.B"
"0305030","Cumulatieve herwaarderingen vorderingen op groepsmaatschappijen","0305030","BFvaVogCuh","asset_fixed","l10n_nl_rgs.account_tag_0305000","0","D.C.C"
"0306010","Vorderingen op participanten en op maatschappijen waarin wordt deelgenomen","0306010","BFvaVopVpl","asset_fixed","l10n_nl_rgs.account_tag_0306000","0","D.F.A"
"0306020","Cumulatieve afschrijvingen en waardeverminderingen vorderingen op participanten en op maatschappijen waarin wordt deelgenomen","0306020","BFvaVopCae","asset_fixed","l10n_nl_rgs.account_tag_0306000","0","D.F.B"
"0306030","Cumulatieve herwaarderingen vorderingen op participanten en op maatschappijen waarin wordt deelgenomen","0306030","BFvaVopCuh","asset_fixed","l10n_nl_rgs.account_tag_0306000","0","D.F.C"
"0307010","Vorderingen op overige verbonden maatschappijen","0307010","BFvaVovVol","asset_fixed","l10n_nl_rgs.account_tag_0307000","0","D.D.A"
"0307020","Cumulatieve afschrijvingen en waardeverminderingen vorderingen op overige verbonden maatschappijen","0307020","BFvaVovCae","asset_fixed","l10n_nl_rgs.account_tag_0307000","0","D.D.B"
"0307030","Cumulatieve herwaarderingen vorderingen op overige verbonden maatschappijen","0307030","BFvaVovCuh","asset_fixed","l10n_nl_rgs.account_tag_0307000","0","D.D.C"
"0308010","Compensabele verliezen","0308010","BFvaLbvBll","asset_fixed","l10n_nl_rgs.account_tag_0308000","0","D.I.A"
"0308020","Verrekenbare tijdelijke verschillen","0308020","BFvaLbvVtv","asset_fixed","l10n_nl_rgs.account_tag_0308000","0","D.I.B"
"0308030","Verrekenbare tijdelijke verschillen in verband met investeringen in groepsmaatschappijen enz.","0308030","BFvaLbvVtg","asset_fixed","l10n_nl_rgs.account_tag_0308000","0","D.I.C"
"0309009","Hoofdsom te vorderen subsidies (langlopend)","0309009","BFvaOvrTsl","asset_fixed","l10n_nl_rgs.account_tag_0309000","0","D.H.G"
"0309019","Cumulatieve aflossingen en waardeverminderingen te vorderen subsidies (langlopend)","0309019","BFvaOvrTsc","asset_fixed","l10n_nl_rgs.account_tag_0309000","0","D.H.GA"
"0309020","Hoofdsom leningen, voorschotten en garanties ten behoeve van bestuurders (langlopend)","0309020","BFvaOvrVob","asset_fixed","l10n_nl_rgs.account_tag_0309000","0","D.H.A"
