id,name,code,referentiecode,sort_code,rgs_allowed_journals_code,rgs_allowed_journals_type,parent_id,code_prefix_start,code_prefix_end
account_group_1209119,Onderhanden projecten (passiva) overige schulden,1209119,BSchOpp,M.N,MISC,,account_group_12,120912,120912
account_group_1210000,Overlopende passiva,1210000,BSchOpa,M.Q,MISC,"sale,purchase,bank",account_group_12,1210,1210
account_group_1211000,Schulden aan overheid (kortlopend),1211000,BSchSoh,M.A.F,MISC,"sale,purchase,bank",account_group_12,1211,1211
account_group_1220000,Tussenrekeningen,1220000,BSchTus,M.R,MISC,"sale,purchase,bank",account_group_12,122,122
account_group_1230000,Uit te keren dividend aan houders van aandelen,1230000,BSchDha,M.S,MISC,bank,account_group_12,123,123
account_group_1240000,Uit te keren dividend aan houders van preferente aandelen,1240000,BSchDhp,M.T,MISC,bank,account_group_12,124,124
account_group_1250000,Schulden aan daeb-niet daeb,1250000,BSchSdn,M.U,MISC,"sale,purchase,bank",account_group_12,125,125
account_group_1260000,Schulden aan leden van de coöperatie,1260000,BSchSlc,M.V,MISC,"sale,purchase,bank",account_group_12,126,126
account_group_3002000,Voorraad grond- en hulpstoffen,3002000,BVrdGeh,E.A,,,account_group_30,3002,3002
account_group_3102000,Halffabrikaten,3102000,BVrdHal,E.B,,,account_group_30,3102,3102
account_group_4001000,Lonen en salarissen,4001000,WPerLes,S.A,WAG,,account_group_40,4001,4001
account_group_4002000,Sociale lasten,4002000,WPerSol,S.B,WAG,,account_group_41,4002,4002
account_group_4003000,Pensioenlasten,4003000,WPerPen,S.C,WAG,,account_group_41,4003,4003
account_group_4003999,Werkkostenregeling - detail,4003999,WBedWkr,W.A,"MISC,ACCR",purchase,account_group_42,4004,4011
account_group_4004008,Overige lasten uit hoofde van personeelsbeloningen,4004008,WPerOlu,S.D,WAG,purchase,account_group_41,40040,40040
account_group_4012000,Overige personeelsgerelateerde kosten,4012000,WBedOvp,W.B,"MISC,ACCR",purchase,account_group_42,4012,4014
account_group_4101000,Afschrijvingen op immateriële vaste activa,4101000,WAfsAiv,T.A,"DEPR,ACCR",,account_group_41,4101,4101
account_group_4102000,Afschrijvingen op materiële vaste activa,4102000,WAfsAmv,T.B,"DEPR,ACCR",,account_group_41,4102,4102
account_group_4103000,Waardeveranderingen van immateriële vaste activa,4103000,WWviWvi,U.A,"MISC,ACCR",,account_group_41_1,4103,4103
account_group_4103008,Afschrijvingen vastgoed,4103008,WAfsAfv,T.C,"DEPR,ACCR",,account_group_41,41030,41030
account_group_4104000,Waardeveranderingen van materiële vaste activa,4104000,WWviWvm,U.B,"MISC,ACCR",,account_group_41_1,4104,4104
account_group_4105000,Boekresultaat op immateriële vaste activa,4105000,WAfsRvi,T.D,"DEPR,ACCR",,account_group_41,4105,4105
account_group_4105500,Wijziging in de reële waarde van vastgoedbeleggingen,4105500,WWviWvb,U.C,"MISC,ACCR",,account_group_41_1,41055,41055
account_group_4106000,Boekresultaat op materiële vaste activa,4106000,WAfsRvm,T.E,"DEPR,ACCR",,account_group_41,4106,4106
account_group_4106009,Bijzondere waardeverminderingen van vlottende activa,4106009,WBwvObw,V.A,DEPR,,account_group_41_2,41060,41060
account_group_4106200,Gerealiseerde waardeveranderingen van beleggingen,4106200,WBwvGwb,V.B,"MISC,ACCR",,account_group_41_2,41062,41062
account_group_4106300,Niet-gerealiseerde waardeveranderingen van beleggingen,4106300,WBwvNwb,V.C,"MISC,ACCR",,account_group_41_2,41063,41063
account_group_4107000,Boekresultaat vastgoed,4107000,WAfsBov,T.F,"DEPR,ACCR",,account_group_41,4107,4107
account_group_4199000,Doorberekende afschrijvingen en waardeveranderingen,4199000,WAfsDae,T.G,"DEPR,MISC,ACCR",,account_group_41,4199,4199
account_group_4201000,Huisvestingskosten,4201000,WBedHui,W.C,"MISC,ACCR",purchase,account_group_42,4201,4201
account_group_4202000,Exploitatie- en machinekosten,4202000,WBedEem,W.D,"MISC,ACCR",purchase,account_group_42,4202,4202
account_group_4203000,Verkoop gerelateerde kosten,4203000,WBedVkk,W.E,"MISC,ACCR",purchase,account_group_42,4203,4203
account_group_4204000,Autokosten,4204000,WBedAut,W.F,"MISC,ACCR,WAG",purchase,account_group_42,4204,4204
account_group_4205000,Transportkosten,4205000,WBedTra,W.G,"MISC,ACCR,WAG",purchase,account_group_42,4205,4205
account_group_4206000,Kantoorkosten,4206000,WBedKan,W.H,"MISC,ACCR",purchase,account_group_42,4206,4206
account_group_4207000,Organisatiekosten,4207000,WBedOrg,W.I,"MISC,ACCR",purchase,account_group_42,4207,4207
account_group_4208000,Assurantiekosten,4208000,WBedAss,W.J,"MISC,ACCR,WAG",purchase,account_group_42,4208,4208
account_group_4209000,Accountants- en advieskosten,4209000,WBedAea,W.K,"MISC,ACCR",purchase,account_group_42,4209,4209
account_group_4210000,Administratieve lasten,4210000,WBedAdl,W.L,"MISC,FCR,ACCR,EXCH","purchase,bank",account_group_42,4210,4210
account_group_4211000,Kosten fondsenwerving,4211000,WBedKof,W.N,"MISC,ACCR",purchase,account_group_42,4211,4211
account_group_4212000,Kosten stamrecht en lijfrentes,4212000,WBedKse,W.O,"MISC,ACCR",purchase,account_group_42,4212,4212
account_group_4213000,Dotaties en vrijval (fiscale) reserves,4213000,WBedDvr,W.P,"MISC,ACCR",purchase,account_group_42,4213,4213
account_group_4214000,Dotaties en vrijval voorzieningen,4214000,WBedDvv,W.Q,ACCR,,account_group_42,4214,4214
account_group_4215000,Andere kosten,4215000,WBedAlk,W.R,"MISC,ACCR,TAX",purchase,account_group_42,4215,4215
account_group_4216000,Baten uit niet-ondernemingsactiviteiten,4216000,WBedBno,W.01,"MISC,ACCR",purchase,account_group_42,42160,42160
account_group_4216100,Lasten uit niet-ondernemingsactiviteiten,4216100,WBedLno,W.02,"MISC,ACCR",purchase,account_group_42,42161,42161
account_group_4301000,Toegerekende kosten,4301000,WKprAkl,Q.D,ACCR,,account_group_70,4301,4301
account_group_4302000,Agrarische bedrijfskosten veeteelt,4302000,WKprAkv,Q.F,ACCR,,account_group_70,4302,4302
account_group_4400000,Overige organisatiekosten,4400000,WOokOok,O.O.A,ACCR,,account_group_44,4400,4400
account_group_7001000,Kosten van grond- en hulpstoffen / halffabrikaten,7001000,WKprKvg,Q.A,"MISC,STJ,ACCR","purchase,sale",account_group_70,7001,7001
account_group_7002000,Kosten van personeel,7002000,WKprKvp,Q.B,"MISC,STJ,ACCR",purchase,account_group_70,7002,7002
account_group_7003000,Kosten uitbesteed werk en andere externe kosten,7003000,WKprKuw,Q.C,"MISC,STJ,ACCR",purchase,account_group_70,7003,7003
account_group_7004000,Kosten van rente en afschrijvingen,7004000,WKprKra,Q.G,"MISC,STJ,ACCR",purchase,account_group_70,7004,7004
account_group_7005000,Inkoopwaarde handelsgoederen,7005000,WKprInh,Q.H,"MISC,STJ,ACCR","purchase,sale",account_group_70,7005,7005
account_group_7006000,Inkoopwaarde productiegoederen,7006000,WKprInp,Q.I,"MISC,STJ,ACCR","purchase,sale",account_group_70,7006,7006
